CountryCode,Year,adolescent_fertility_rate,birth_rate_per_1000_people,CO2_emissions_kt,CO2_emissions_metric_tons_per_capita,hospital_beds_per_1000_people,total_population,GDP,GDP_per_capita,land_area_sq_km,population_density_people_per_sq_km_of_land_area,GDP_growth_annual,GDP_per_capita_growth_annual,adult_literacy_rate,unemployment_rate,gini_index,income_share_held_by_highest_20_percent,income_share_held_by_lowest_20_percent,tax_revenue_percent_of_GDP,health_expenditure_per_capita
MOZ,1960,127.88,48.914,1884.838,0.25153717772115197,0.808872818946838,7493278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MMR,1960,95.8692,43.791,2717.247,0.12646343570247,0.663009285926819,21486424,6121001500,284.877627845378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAM",1960,129.7296,42.446,NA,NA,NA,602545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,1960,126.29,44.886,80.674,0.00802172031367379,0.115763798356056,10056945,3872999900,385.106998198757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD,1960,17.9102,20.8,73505.015,6.3991796202037,NA,11486631,21169567744,1842.9744756317104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCL,1960,45.316,34,861.745,10.908164556962,NA,79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,1960,60.989,26.5,11543.716,4.8670697360654405,11.6999998092651,2371800,2818149376,1188.1901408213198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,1960,166.3776,51.459,531.715,0.299609059805172,2.15823602676392,1774696,0.4700948,2.64887507494241e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,1960,204.6698,57.632,29.336,0.0086404030145982,0.409490883350372,3395212,110221787100,32463.889471408598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA,1960,163.956,46.26,3406.643,0.0753488473116664,0.418167114257813,45211614,2997268700,66.294220330201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNP,1960,NA,NA,NA,NA,NA,10070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,1960,27.9588,17.3,13102.191,3.65856369820612,NA,3581239,37633208320,10508.4325061801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,1960,134.903,49.347,NA,NA,0.33512544631958,551737,15800000,28.6368324038446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,1960,112.675,44.184,14154.62,0.31516476401196003,0.55726158618927,44911810,17653000200,393.059202022809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLW,1960,NA,NA,14.668,1.52189250881926,NA,9638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAN,1960,143.5474,41.439,997.424,0.8803979790347809,3.775310754776,1132924,415800032,367.0149383365519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,1960,69.9016,41.897,179.683,0.0913507514399145,NA,1966957,205800000,104.62862177465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,1960,96.5818,41.888,304.361,0.159948309685733,2.38925075531006,1902871,31981901000,16807.1829356798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,1960,131.743,47.198,8173.743,0.8123766401474771,2.4114389419555695,10061519,68.3512420654,6.7933323055296095e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,1960,66.2776,44.302,8335.091,0.31724902764329804,0.838957667350769,26273023,13504165900,513.993608577133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,1960,39.8736,22.6,199767.159,6.74036258180107,4.59999990463257,29637450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,1960,26.9002,24.1,8225.081,0.928578089430729,NA,8857716,453971392,51.251518111440895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRI,1960,106.9978,32.4,NA,NA,NA,2358000,1691900000,717.514843087362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,1960,91.35,42.436,176.016,3.7205605698704303,NA,47309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROM,1960,55.0802,19.1,53450.192,2.9038120205433797,7.27327060699463,18406905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUS,1960,27.8518,23.743,NA,NA,NA,119897000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWA,1960,74.1108,52.248,106.343,0.0362521749327748,NA,2933424,5950001200,2028.3468056441895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,1960,77.1474,48.133,14.668,0.135008513967509,5,108645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMR,1960,NA,NA,NA,NA,NA,15393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,1960,131.46,47.615,11.001,0.17120846626721695,40.315456390380895,64255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,1960,124.1404,47.577,2676.91,0.655055537216211,0.7747239470481869,4086539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEN,1960,193.6822,50.444,828.742,0.260810810810811,1.31314718723297,3177560,194396733400,61177.9898412618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,1960,65.0296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,1960,145.3704,NA,NA,NA,7.098321437835691,41700,57200000,1371.70263788969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLE,1960,187.639,46.114,715.065,0.32775572821390303,0.772869229316711,2181701,197156700,90.368341032983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGP,1960,56.9976,38.5,1393.46,0.846367832847425,4.39246654510498,1646400,2156500000,1309.82750242954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,1960,49.6362,21.7,NA,NA,NA,4068095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,1960,30.5788,17.6,NA,NA,NA,1584720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLB,1960,52.416,40.782,11.001,0.0933324283738727,7.33050870895386,117869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,1960,55.389,47.651,84.341,0.030598466104093,1.3553191423416102,2756380,1289000064,467.642365711549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,1960,65.084,41.719,97934.569,5.62971769372269,NA,17396000,5259459600,302.337295930099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,1960,144.022,50.945,NA,NA,NA,2955044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,1960,10.0564,21.7,48928.781,1.60659271055656,NA,30455000,4353296384,142.941926908554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,1960,98.6416,36.997,2258.872,0.228261115602264,3.1388411521911603,9896000,6757438500,682.845442603072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,1960,NA,NA,11.001,0.214875871633103,3.8627450466156,51197,21200000,414.086762896263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,1960,157.6034,48.9,14.668,0.163157250753607,4.28042554855347,89901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,1960,NA,NA,NA,NA,NA,4279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
